"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs4238595-<b>C</b>,"2 x 10-11",,0.687,0.912,'-,'-,"UMOD, GP2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,16:20331769
rs1052553-<b>G</b>,"2 x 10-15",,0.232,0.879,'-,'-,MAPT,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,17:45996523
rs113881148-<b>A</b>,"6 x 10-9",,0.626,1.082,'-,'-,DGKQ,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,4:973543
rs56178904-<b>T</b>,"7 x 10-11",,0.187,0.898,'-,'-,GATD3A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,21:44204668
rs34090353-<b>C</b>,"1 x 10-8",,0.361,1.078,'-,'-,RPAP2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:92358141
rs2641348-<b>G</b>,"2 x 10-8",,0.107,1.113,'-,'-,ADAM30,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:119895261
rs2229238-<b>C</b>,"1 x 10-12",,0.813,0.896,'-,'-,IL6R,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:154465420
rs78037977-<b>G</b>,"2 x 10-9",,0.124,0.884,'-,'-,"FASLG, SLC25A38P1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:172746562
rs2816313-<b>A</b>,"5 x 10-9",,0.719,1.09,'-,'-,RGS1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:192570207
rs11120029-<b>T</b>,"2 x 10-8",,0.147,1.102,'-,'-,TATDN3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:212796238
rs10169963-<b>T</b>,"3 x 10-8",,0.58,1.074,'-,'-,MIR3681HG,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,2:12512805
rs12712067-<b>T</b>,"4 x 10-9",,0.358,0.925,'-,'-,AFF3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,2:100147438
rs7582694-<b>G</b>,"3 x 10-9",,0.773,0.916,'-,'-,STAT4,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,2:191105394
rs10933559-<b>G</b>,"3 x 10-11",,0.208,1.109,'-,'-,FARP2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,2:241468331
rs113881148-<b>A</b>,"6 x 10-9",,0.626,1.082,'-,'-,DGKQ,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,4:973543
rs337637-<b>A</b>,"3 x 10-10",,0.364,0.919,'-,'-,KLF3-AS1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,4:38602849
rs1876142-<b>T</b>,"2 x 10-14",,0.658,0.905,'-,'-,TTC33,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,5:40521603
rs2269242-<b>C</b>,"5 x 10-12",,0.196,1.11,'-,'-,'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,"Mapping not available"
rs968567-<b>T</b>,"8 x 10-9",,0.177,0.903,'-,'-,"FADS1, FADS2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,11:61828092
rs2641348-<b>G</b>,"2 x 10-8",,0.107,1.113,'-,'-,ADAM30,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:119895261
rs605093-<b>T</b>,"4 x 10-9",,0.47,1.077,'-,'-,FLI1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,11:128734337
rs78037977-<b>G</b>,"2 x 10-9",,0.124,0.884,'-,'-,"FASLG, SLC25A38P1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:172746562
rs2816313-<b>A</b>,"5 x 10-9",,0.719,1.09,'-,'-,RGS1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:192570207
rs11120029-<b>T</b>,"2 x 10-8",,0.147,1.102,'-,'-,TATDN3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:212796238
rs10169963-<b>T</b>,"3 x 10-8",,0.58,1.074,'-,'-,MIR3681HG,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,2:12512805
rs12712067-<b>T</b>,"4 x 10-9",,0.358,0.925,'-,'-,AFF3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,2:100147438
rs7582694-<b>G</b>,"3 x 10-9",,0.773,0.916,'-,'-,STAT4,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,2:191105394
rs10933559-<b>G</b>,"3 x 10-11",,0.208,1.109,'-,'-,FARP2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,2:241468331
rs2597169-<b>G</b>,"3 x 10-9",,0.348,1.081,'-,'-,PRR15L,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,17:47956725
rs337637-<b>A</b>,"3 x 10-10",,0.364,0.919,'-,'-,KLF3-AS1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,4:38602849
rs1876142-<b>T</b>,"2 x 10-14",,0.658,0.905,'-,'-,TTC33,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,5:40521603
rs10213692-<b>C</b>,"3 x 10-9",,0.241,0.912,'-,'-,ANKRD55,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,5:56146422
rs9405661-<b>A</b>,"2 x 10-9",,0.514,1.08,'-,'-,"IRF4, EXOC2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,6:424915
rs2269242-<b>C</b>,"5 x 10-12",,0.196,1.11,'-,'-,'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,"Mapping not available"
rs12665429-<b>C</b>,"1 x 10-13",,0.37,0.907,'-,'-,LINC02539,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,6:137682468
rs212408-<b>T</b>,"1 x 10-15",,0.638,1.112,'-,'-,TAGAP-AS1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,6:159049210
rs17143056-<b>G</b>,"2 x 10-8",,0.183,0.909,'-,'-,EEF1A1P27,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,7:20557306
rs10245867-<b>T</b>,"3 x 10-8",,0.331,0.928,'-,'-,JAZF1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,7:28102567
rs2250903-<b>T</b>,"1 x 10-10",,0.283,0.905,'-,'-,"CTSB, OR7E158P","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,8:11877675
rs1405209-<b>C</b>,"3 x 10-8",,0.375,1.075,'-,'-,"NR4A3, STX17-AS1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,9:99823263
rs722988-<b>C</b>,"3 x 10-15",,0.367,1.108,'-,'-,"NRP1, IATPR","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,10:33137219
rs11033048-<b>T</b>,"2 x 10-10",,0.366,1.091,'-,'-,SLC1A2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,11:35267496
rs10213692-<b>C</b>,"3 x 10-9",,0.241,0.912,'-,'-,ANKRD55,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,5:56146422
rs9405661-<b>A</b>,"2 x 10-9",,0.514,1.08,'-,'-,"IRF4, EXOC2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,6:424915
rs12665429-<b>C</b>,"1 x 10-13",,0.37,0.907,'-,'-,LINC02539,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,6:137682468
rs212408-<b>T</b>,"1 x 10-15",,0.638,1.112,'-,'-,TAGAP-AS1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,6:159049210
rs17143056-<b>G</b>,"2 x 10-8",,0.183,0.909,'-,'-,EEF1A1P27,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,7:20557306
rs10245867-<b>T</b>,"3 x 10-8",,0.331,0.928,'-,'-,JAZF1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,7:28102567
rs2250903-<b>T</b>,"1 x 10-10",,0.283,0.905,'-,'-,"CTSB, OR7E158P","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,8:11877675
rs1405209-<b>C</b>,"3 x 10-8",,0.375,1.075,'-,'-,"NR4A3, STX17-AS1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,9:99823263
rs722988-<b>C</b>,"3 x 10-15",,0.367,1.108,'-,'-,"NRP1, IATPR","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,10:33137219
rs11033048-<b>T</b>,"2 x 10-10",,0.366,1.091,'-,'-,SLC1A2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,11:35267496
rs79538630-<b>T</b>,"1 x 10-9",,0.035,1.213,'-,'-,"CD6, SLC15A3","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,11:60961822
rs968567-<b>T</b>,"8 x 10-9",,0.177,0.903,'-,'-,"FADS1, FADS2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,11:61828092
rs645078-<b>C</b>,"3 x 10-9",,0.385,0.925,'-,'-,RPS6KA4,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,11:64367826
rs605093-<b>T</b>,"4 x 10-9",,0.47,1.077,'-,'-,FLI1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,11:128734337
rs1805731-<b>C</b>,"4 x 10-8",,0.389,1.073,'-,'-,M6PR,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,12:8942630
rs7313065-<b>A</b>,"3 x 10-9",,0.162,1.101,'-,'-,SPRYD3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,12:53077434
rs74537115-<b>T</b>,"5 x 10-9",,0.141,1.109,'-,'-,LINC02341,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,13:42343795
rs911263-<b>T</b>,"3 x 10-8",,0.71,1.083,'-,'-,RAD51B,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,14:68286876
rs4238595-<b>C</b>,"2 x 10-11",,0.687,0.912,'-,'-,"UMOD, GP2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,16:20331769
rs1052553-<b>G</b>,"2 x 10-15",,0.232,0.879,'-,'-,MAPT,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,17:45996523
rs2597169-<b>G</b>,"3 x 10-9",,0.348,1.081,'-,'-,PRR15L,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,17:47956725
rs56178904-<b>T</b>,"7 x 10-11",,0.187,0.898,'-,'-,GATD3A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,21:44204668
rs2148655-<b>T</b>,"8 x 10-8",,NR,'-,'-,'-,DGKH,"Neuropeptide Y autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST90132189,13:42065933
rs6448501-<b>C</b>,"2 x 10-7",,NR,'-,'-,'-,"LINC02261, STIM2","Neuropeptide Y autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST90132189,4:27187197
rs12508379-<b>A</b>,"4 x 10-7",,NR,'-,'-,'-,"STIM2, LINC02261","Neuropeptide Y autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST90132189,4:27170830
rs185335076-<b>T</b>,"4 x 10-7",,NR,'-,'-,'-,"STIM2, LINC02261","Neuropeptide Y autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST90132189,4:27161458
rs13132147-<b>G</b>,"9 x 10-7",,NR,'-,'-,'-,"LINC02261, STIM2","Neuropeptide Y autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST90132189,4:27165208
rs35956129-<b>A</b>,"9 x 10-7",,NR,'-,'-,'-,"LINC02261, STIM2","Neuropeptide Y autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST90132189,4:27165352
rs1275406-<b>G</b>,"2 x 10-6",,NR,'-,'-,'-,DCAF5,"Neuropeptide Y autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST90132189,14:69126022
rs7684596-<b>G</b>,"2 x 10-6",,NR,'-,'-,'-,"STIM2, LINC02261","Neuropeptide Y autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST90132189,4:27213543
rs7684597-<b>G</b>,"2 x 10-6",,NR,'-,'-,'-,"STIM2, LINC02261","Neuropeptide Y autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST90132189,4:27213548
rs7684611-<b>G</b>,"2 x 10-6",,NR,'-,'-,'-,"STIM2, LINC02261","Neuropeptide Y autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST90132189,4:27213567
rs689-<b>?</b>,"1 x 10-6",,NR,2.44,'-,[1.69-3.45],"INS-IGF2, INS","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST008377,11:2160994
rs4320356-<b>T</b>,"3 x 10-8",,0.28,1.26,'-,[1.16-1.36],BTN2A3P,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST008377,6:26423332
rs3802604-<b>C</b>,"2 x 10-8",,0.38,1.24,'-,[1.15-1.33],GATA3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST008377,10:8060309
rs1770-<b>G</b>,"2 x 10-232",,0.46,4.28,'-,[3.92-4.68],"HLA-DQB1, HLA-DQB1-AS1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST008377,6:32660056
rs705699-<b>T</b>,"7 x 10-20",,0.26,1.46,'-,[1.34-1.58],RAB5B,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST008377,12:55991020
rs3761980-<b>C</b>,"9 x 10-8","(Type 2 diabetes)",NR,'-,'-,'-,"MAPK14, SLC26A8","Foot ulcer in diabetes and neuropathy","diabetic foot","type 1 diabetes mellitus, type 2 diabetes mellitus, neuropathy",GCST004724,6:36026129
rs80028505-<b>T</b>,"3 x 10-8",,0.09,1.71,'-,[1.41-2.06],MAPK14,"Foot ulcer in diabetes and neuropathy","diabetic foot","type 1 diabetes mellitus, type 2 diabetes mellitus, neuropathy",GCST004724,6:36030611
rs71597855-<b>?</b>,"1 x 10-7",,NR,2.678,'-,[1.856-3.863],LNX1,"Foot ulcer and neuropathy in diabetes","diabetic foot, neuropathy","type 1 diabetes mellitus, type 2 diabetes mellitus",GCST004725,4:53790270
rs11154178-<b>?</b>,"2 x 10-7",,NR,1.37,'-,[1.22-1.55],TRDN,"Foot ulcer and neuropathy in diabetes","diabetic foot, neuropathy","type 1 diabetes mellitus, type 2 diabetes mellitus",GCST004725,6:123540174
rs28485846-<b>?</b>,"4 x 10-7",,NR,2.116,'-,[1.583-2.829],UNC5D,"Foot ulcer and neuropathy in diabetes","diabetic foot, neuropathy","type 1 diabetes mellitus, type 2 diabetes mellitus",GCST004725,8:35265058
rs559047-<b>A</b>,"4 x 10-6",,0.24,'-,"0.28 unit decrease",[0.16-0.40],KRT18P32,"Stimulated C-peptide levels in type I diabetes","C-peptide measurement","type 1 diabetes mellitus",GCST005435,1:238590616
rs61211515-<b>?</b>,"1 x 10-7",,0.16,'-,"0.39 unit decrease",[0.25-0.53],"TRIM31-AS1, TRIM40","Stimulated C-peptide levels in type I diabetes","C-peptide measurement","type 1 diabetes mellitus",GCST005435,6:30133199
rs3135002-<b>A</b>,"3 x 10-8",,0.03,'-,'-,'-,"HLA-DQB1, MTCO3P1","Random C-peptide levels in type I diabetes","C-peptide measurement","type 1 diabetes mellitus",GCST005437,6:32700662
rs559047-<b>A</b>,"4 x 10-8",,0.23,'-,'-,'-,KRT18P32,"C-peptide levels in type I diabetes","C-peptide measurement","type 1 diabetes mellitus",GCST005436,1:238590616
rs9260151-<b>T</b>,"8 x 10-8",,0.09,'-,'-,'-,HLA-A,"C-peptide levels in type I diabetes","C-peptide measurement","type 1 diabetes mellitus",GCST005436,6:29943253
rs61211515-<b>?</b>,"2 x 10-6",,0.16,'-,'-,'-,"TRIM31-AS1, TRIM40","C-peptide levels in type I diabetes","C-peptide measurement","type 1 diabetes mellitus",GCST005436,6:30133199
rs3135002-<b>A</b>,"7 x 10-8",,0.03,'-,'-,'-,"HLA-DQB1, MTCO3P1","C-peptide levels in type I diabetes","C-peptide measurement","type 1 diabetes mellitus",GCST005436,6:32700662
rs9810233-<b>G</b>,"7 x 10-7",,0.270,'-,'-,'-,ALCAM,"Erectile dysfunction in type 1 diabetes","erectile dysfunction","type 1 diabetes mellitus",GCST001572,3:105292046
rs836589-<b>A</b>,"2 x 10-6",,0.186,'-,'-,'-,"RAPGEF4-AS1, PDK1","Erectile dysfunction in type 1 diabetes","erectile dysfunction","type 1 diabetes mellitus",GCST001572,2:172628350
rs6931865-<b>A</b>,"4 x 10-6",,0.336,'-,'-,'-,PHACTR2,"Erectile dysfunction in type 1 diabetes","erectile dysfunction","type 1 diabetes mellitus",GCST001572,6:143758717
rs950146-<b>C</b>,"4 x 10-6",,0.491,'-,'-,'-,"RN7SKP227, NBPF21P","Erectile dysfunction in type 1 diabetes","erectile dysfunction","type 1 diabetes mellitus",GCST001572,3:36638607
rs2990510-<b>G</b>,"6 x 10-6",,0.305,'-,'-,'-,F13B,"Erectile dysfunction in type 1 diabetes","erectile dysfunction","type 1 diabetes mellitus",GCST001572,1:197051528
rs9850224-<b>A</b>,"5 x 10-6",,0.010,'-,'-,'-,LINC02050,"Erectile dysfunction in type 1 diabetes","erectile dysfunction","type 1 diabetes mellitus",GCST001572,3:80816613
rs7528684-<b>T</b>,"8 x 10-9",,NR,1.45,'-,'-,"VDAC1P9, FCRL3","Insulinoma-associated antigen 2 autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST004381,1:157701026
rs657152-<b>G</b>,"1 x 10-13",,'-,2.94,'-,[2.13-4.00],ABO,"Gastric parietal cell autoantibody levels in type 1 diabetes","autoantibody measurement","type 1 diabetes mellitus",GCST004382,9:133263862
rs11755527-<b>G</b>,"1 x 10-6",,'-,1.2,'-,'-,BACH2,"Thyroid peroxidase autoantibody levels in type 1 diabetes","thyroid peroxidase antibody measurement","type 1 diabetes mellitus",GCST004383,6:90248512
rs7533564-<b>C</b>,"2 x 10-9",,'-,'-,"0.138 unit increase",[0.093-0.183],"MGC27382, PTGFR","Skin fluorescence in type 1 diabetes","skin fluorescence measurement","type 1 diabetes mellitus",GCST003418,1:78360228
rs2085277-<b>T</b>,"4 x 10-8",,0.039,'-,"0.046 unit increase",[0.030-0.062],'-,"Glycated hemoglobin levels in type 1 diabetes","HbA1c measurement","type 1 diabetes mellitus",GCST007605,13:31593580
rs1970112-<b>C</b>,"1 x 10-8",,0.41,1.27,'-,[1.17-1.38],CDKN2B-AS1,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST011116,9:22085599
rs181176493-<b>A</b>,"2 x 10-7",,0.01,3.88,'-,[2.33-6.47],RN7SL807P,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST011116,2:223293148
rs70962766-<b>C</b>,"5 x 10-7",,0.99,0.2,'-,[0.11-0.37],"B3GNT2, COMMD1","Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST011116,2:62179865
rs138181578-<b>AT</b>,"7 x 10-7",,0.99,0.18,'-,[0.09-0.35],RUNX2,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST011116,6:45758094
rs10625784-<b>TAAA</b>,"8 x 10-7",,0.99,0.23,'-,[0.13-0.42],'-,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST011116,11:106323171
rs79237700-<b>C</b>,"2 x 10-6",,0.04,1.82,'-,[1.42-2.33],"LINC02490, WDR72","Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST011116,15:53449415
rs574480779-<b>T</b>,"9 x 10-7",,0.03,2.27,'-,[1.64-3.15],"MRPL22, KIF4B","Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST011116,5:155011321
rs1344228-<b>T</b>,"8 x 10-6",,0.11,1.33,'-,[1.17-1.51],'-,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST011116,2:123529348
rs6055069-<b>C</b>,"1 x 10-6",,0.98,0.38,'-,[0.25-0.56],"DEFB126, DEFB127","Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST011116,20:153643
rs17206992-<b>G</b>,"6 x 10-6",(EA),0.057,2.32,'-,[NR],GALNT13,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,2:154368670
rs113517532-<b>AGAT</b>,"2 x 10-6",(EA),0.106,1.75,'-,[NR],LINC01117,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,2:176780863
rs73018809-<b>T</b>,"2 x 10-7",(EA),0.024,3.5,'-,[NR],NUP210,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,3:13329174
rs28641753-<b>T</b>,"2 x 10-7",(EA),0.071,2.1,'-,[NR],'-,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,3:104256574
rs78031527-<b>T</b>,"5 x 10-6",(EA),0.201,1.7,'-,[NR],"JAKMIP1, C4orf50","Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,4:6169503
rs143537377-<b>C</b>,"8 x 10-6",(EA),0.096,1.88,'-,[NR],LINC02212,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,5:10500534
rs115829748-<b>T</b>,"1 x 10-9",(EA),0.04,3.16,'-,[NR],MAP1B,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,5:72098560
rs9354144-<b>A</b>,"6 x 10-6",(EA),0.105,1.71,'-,[NR],'-,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,6:94847753
rs571622299-<b>A</b>,"6 x 10-6",(EA),0.015,4.12,'-,[NR],KCNB2,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,8:72930288
rs143723948-<b>T</b>,"6 x 10-7",(EA),0.499,1.65,'-,[NR],PAX5,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,9:37034098
rs117826205-<b>C</b>,"6 x 10-6",(EA),0.026,2.72,'-,[NR],MALRD1,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,10:19168458
rs61879614-<b>C</b>,"3 x 10-6",(EA),0.048,2.94,'-,[NR],TUB,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,11:8058878
rs34319244-<b>C</b>,"3 x 10-6",(EA),0.44,1.51,'-,[NR],"UBE2G1, SPNS3","Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,17:4424870
rs113114656-<b>T</b>,"2 x 10-6",(EA),0.04,2.67,'-,[NR],SMAD2,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,18:47872985
rs67213764-<b>G</b>,"9 x 10-6",(EA),0.261,1.48,'-,[NR],LINC01683,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,21:19974842
rs12482425-<b>G</b>,"9 x 10-6",(EA),0.686,1.5151515,'-,[NR],'-,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,21:23556791
rs373009901-<b>C</b>,"9 x 10-6",(EA),0.019,3.94,'-,[NR],GRK3,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,22:25592812
rs138760780-<b>T</b>,"9 x 10-6",(EA),0.018,3.48,'-,[NR],CDK18,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,1:205515245
rs12344245-<b>G</b>,"9 x 10-6",(EA),0.035,2.52,'-,[NR],FAM189A2,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,9:69340801
rs12344245-<b>G</b>,"9 x 10-6",,0.035,1.85,'-,[1.41-2.43],FAM189A2,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,9:69340801
rs138760780-<b>T</b>,"2 x 10-6",,0.018,2.6,'-,[1.75-3.85],CDK18,"Coronary artery disease in type 1 diabetes","coronary artery disease","type 1 diabetes mellitus",GCST006281,1:205515245
rs11580078-<b>G</b>,"8 x 10-11",,0.43,'-,'-,'-,"C1orf141, IL23R","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:67203951
rs6679677-<b>A</b>,"8 x 10-11",,0.09,'-,'-,'-,"RSBN1, PHTF1","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:113761186
rs117372389-<b>T</b>,"8 x 10-11",,0.02,'-,'-,'-,NKD1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,16:50634166
rs12232497-<b>C</b>,"3 x 10-7",,0.45,'-,'-,'-,"GSDMB, ZPBP2","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,17:39883866
rs55705316-<b>G</b>,"1 x 10-6",,0.14,'-,'-,'-,"IL10, Y_RNA","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:206760172
rs602662-<b>G</b>,"5 x 10-8",,0.49,'-,'-,'-,FUT2,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,19:48703728
